material_uid,manufacturing_uid,city,asset_id,asset_name,asset_type,package_id,phase,bom_source,bom_ref,description,quantity_basis,make_buy_source,base_usd,cost_basis,traceability_required,evidence_required,material_status
samawah:SAM-DEP-003:dep-10-building-plant:MAT-005,samawah:SAM-DEP-003:dep-10-building-plant,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-005:dep-10-building-plant:MAT-001,samawah:SAM-PLANT-005:dep-10-building-plant,samawah,SAM-PLANT-005,production/depot tooling at line-3-0484-0261,depots-production,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-005:dep-10-building-plant:MAT-002,samawah:SAM-PLANT-005:dep-10-building-plant,samawah,SAM-PLANT-005,production/depot tooling at line-3-0484-0261,depots-production,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-005:dep-10-building-plant:MAT-003,samawah:SAM-PLANT-005:dep-10-building-plant,samawah,SAM-PLANT-005,production/depot tooling at line-3-0484-0261,depots-production,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-005:dep-10-building-plant:MAT-004,samawah:SAM-PLANT-005:dep-10-building-plant,samawah,SAM-PLANT-005,production/depot tooling at line-3-0484-0261,depots-production,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-005:dep-10-building-plant:MAT-005,samawah:SAM-PLANT-005:dep-10-building-plant,samawah,SAM-PLANT-005,production/depot tooling at line-3-0484-0261,depots-production,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-20-charging-stabling:MAT-001,samawah:SAM-DEP-003:dep-20-charging-stabling,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-20-charging-stabling,depots-production,project_kit,depot:charger-kit,depot:charger kit,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-20-charging-stabling:MAT-002,samawah:SAM-DEP-003:dep-20-charging-stabling,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-20-charging-stabling,depots-production,project_kit,depot:switchgear,depot:switchgear,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-20-charging-stabling:MAT-003,samawah:SAM-DEP-003:dep-20-charging-stabling,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-20-charging-stabling,depots-production,project_kit,depot:stabling-controls,depot:stabling controls,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-003:dep-20-charging-stabling:MAT-004,samawah:SAM-DEP-003:dep-20-charging-stabling,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-20-charging-stabling,depots-production,project_kit,depot:isolation-hardware,depot:isolation hardware,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-004:dep-10-building-plant:MAT-001,samawah:SAM-DEP-004:dep-10-building-plant,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-004:dep-10-building-plant:MAT-002,samawah:SAM-DEP-004:dep-10-building-plant,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-004:dep-10-building-plant:MAT-003,samawah:SAM-DEP-004:dep-10-building-plant,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-004:dep-10-building-plant:MAT-004,samawah:SAM-DEP-004:dep-10-building-plant,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-DEP-004:dep-10-building-plant:MAT-005,samawah:SAM-DEP-004:dep-10-building-plant,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-006:dep-10-building-plant:MAT-001,samawah:SAM-PLANT-006:dep-10-building-plant,samawah,SAM-PLANT-006,production/depot tooling at line-3-0654-0608,depots-production,dep-10-building-plant,depots-production,project_kit,depot:building-fitout,depot:building fitout,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-006:dep-10-building-plant:MAT-002,samawah:SAM-PLANT-006:dep-10-building-plant,samawah,SAM-PLANT-006,production/depot tooling at line-3-0654-0608,depots-production,dep-10-building-plant,depots-production,project_kit,depot:production-fixtures,depot:production fixtures,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-006:dep-10-building-plant:MAT-003,samawah:SAM-PLANT-006:dep-10-building-plant,samawah,SAM-PLANT-006,production/depot tooling at line-3-0654-0608,depots-production,dep-10-building-plant,depots-production,project_kit,depot:calibrated-tools,depot:calibrated tools,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-006:dep-10-building-plant:MAT-004,samawah:SAM-PLANT-006:dep-10-building-plant,samawah,SAM-PLANT-006,production/depot tooling at line-3-0654-0608,depots-production,dep-10-building-plant,depots-production,project_kit,depot:lifting-equipment,depot:lifting equipment,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-PLANT-006:dep-10-building-plant:MAT-005,samawah:SAM-PLANT-006:dep-10-building-plant,samawah,SAM-PLANT-006,production/depot tooling at line-3-0654-0608,depots-production,dep-10-building-plant,depots-production,project_kit,depot:stores-racks,depot:stores racks,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-EN-001:en-10-energy-build:MAT-001,samawah:SAM-EN-001:en-10-energy-build,samawah,SAM-EN-001,energy site at line-1-0985-0109,energy,en-10-energy-build,energy,project_kit,energy:pv-kit,energy:pv kit,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-EN-001:en-10-energy-build:MAT-002,samawah:SAM-EN-001:en-10-energy-build,samawah,SAM-EN-001,energy site at line-1-0985-0109,energy,en-10-energy-build,energy,project_kit,energy:bess-kit,energy:bess kit,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-EN-001:en-10-energy-build:MAT-003,samawah:SAM-EN-001:en-10-energy-build,samawah,SAM-EN-001,energy site at line-1-0985-0109,energy,en-10-energy-build,energy,project_kit,energy:charger,energy:charger,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
samawah:SAM-EN-001:en-10-energy-build:MAT-004,samawah:SAM-EN-001:en-10-energy-build,samawah,SAM-EN-001,energy site at line-1-0985-0109,energy,en-10-energy-build,energy,project_kit,energy:switchgear,energy:switchgear,per asset package,PROJECT_KIT,,Controlled project-kit placeholder; replace with detailed BOM row when available.,yes,"kit issue note, receiving inspection, lot/serial traceability where applicable",required
