evidence_id,city,asset_id,asset_name,asset_type,manufacturing_uid,package_id,phase,qa_uid,qa_gate_id,qa_stage,hold_point,required_result,release_authority,evidence_required,blocks_successors,predecessor_uids,material_count,material_sources,acceptance_use
basra:BAS-PLANT-005:dep-10-building-plant:VERIFY,basra,BAS-PLANT-005,production/depot tooling at line-3-1128-0589-s000000,depots-production,basra:BAS-PLANT-005:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-005:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-DEP-003:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-003,layup-minimal at line-2-0839-1170-s000000,depot,basra:BAS-DEP-003:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-003:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-003:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-004:dep-10-building-plant:VERIFY,basra,BAS-DEP-004,layup-minimal at line-2-1620-1366-s020200,depot,basra:BAS-DEP-004:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-004:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-PLANT-006:dep-10-building-plant:VERIFY,basra,BAS-PLANT-006,production/depot tooling at line-3-1713-2270-s045713,depots-production,basra:BAS-PLANT-006:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-006:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-001:en-10-energy-build:VERIFY,basra,BAS-EN-001,energy site at line-1-0080-0724-s000000,energy,basra:BAS-EN-001:en-10-energy-build,en-10-energy-build,energy,basra:BAS-EN-001:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-004:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-004,layup-minimal at line-2-1620-1366-s020200,depot,basra:BAS-DEP-004:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-004:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-004:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-005:dep-10-building-plant:VERIFY,basra,BAS-DEP-005,layup-minimal at line-3-1128-0589-s000000,depot,basra:BAS-DEP-005:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-005:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-PLANT-007:dep-10-building-plant:VERIFY,basra,BAS-PLANT-007,production/depot tooling at line-4-1070-0777-s000000,depots-production,basra:BAS-PLANT-007:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-007:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-002:en-10-energy-build:VERIFY,basra,BAS-EN-002,energy site at line-1-0649-0945-s013284,energy,basra:BAS-EN-002:en-10-energy-build,en-10-energy-build,energy,basra:BAS-EN-002:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-EN-001:en-20-energy-commission:VERIFY,basra,BAS-EN-001,energy site at line-1-0080-0724-s000000,energy,basra:BAS-EN-001:en-20-energy-commission,en-20-energy-commission,energy,basra:BAS-EN-001:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-EN-001:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-PLANT-008:dep-10-building-plant:VERIFY,basra,BAS-PLANT-008,production/depot tooling at line-4-1405-2361-s037350,depots-production,basra:BAS-PLANT-008:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-008:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-003:en-10-energy-build:VERIFY,basra,BAS-EN-003,energy site at line-1-0731-0965-s015090,energy,basra:BAS-EN-003:en-10-energy-build,en-10-energy-build,energy,basra:BAS-EN-003:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-ST-001:st-10-civil-structure:VERIFY,basra,BAS-ST-001,line-1-0080-0724-s000000,station,basra:BAS-ST-001:st-10-civil-structure,st-10-civil-structure,stations,basra:BAS-ST-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-DEP-005:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-005,layup-minimal at line-3-1128-0589-s000000,depot,basra:BAS-DEP-005:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-005:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-005:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-006:dep-10-building-plant:VERIFY,basra,BAS-DEP-006,main-heavy at line-3-1713-2270-s045713,depot,basra:BAS-DEP-006:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-006:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-002:en-20-energy-commission:VERIFY,basra,BAS-EN-002,energy site at line-1-0649-0945-s013284,energy,basra:BAS-EN-002:en-20-energy-commission,en-20-energy-commission,energy,basra:BAS-EN-002:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-EN-002:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-PLANT-009:dep-10-building-plant:VERIFY,basra,BAS-PLANT-009,production/depot tooling at line-5-1179-1578-s000000,depots-production,basra:BAS-PLANT-009:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-009:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-004:en-10-energy-build:VERIFY,basra,BAS-EN-004,energy site at line-1-0786-0977-s016289,energy,basra:BAS-EN-004:en-10-energy-build,en-10-energy-build,energy,basra:BAS-EN-004:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-ST-002:st-10-civil-structure:VERIFY,basra,BAS-ST-002,line-1-0288-0818-s005012,station,basra:BAS-ST-002:st-10-civil-structure,st-10-civil-structure,stations,basra:BAS-ST-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-003:en-20-energy-commission:VERIFY,basra,BAS-EN-003,energy site at line-1-0731-0965-s015090,energy,basra:BAS-EN-003:en-20-energy-commission,en-20-energy-commission,energy,basra:BAS-EN-003:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-EN-003:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-ST-001:st-20-mep-passenger-systems:VERIFY,basra,BAS-ST-001,line-1-0080-0724-s000000,station,basra:BAS-ST-001:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,basra:BAS-ST-001:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-ST-001:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-DEP-006:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-006,main-heavy at line-3-1713-2270-s045713,depot,basra:BAS-DEP-006:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-006:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-006:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-007:dep-10-building-plant:VERIFY,basra,BAS-DEP-007,layup-minimal at line-4-1070-0777-s000000,depot,basra:BAS-DEP-007:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-007:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-TRK-L1-001:trk-10-survey-utility:VERIFY,basra,BAS-TRK-L1-001,line-1 section 001,track-section,basra:BAS-TRK-L1-001:trk-10-survey-utility,trk-10-survey-utility,track-civil,basra:BAS-TRK-L1-001:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
basra:BAS-PLANT-010:dep-10-building-plant:VERIFY,basra,BAS-PLANT-010,production/depot tooling at line-5-2152-0348-s039796,depots-production,basra:BAS-PLANT-010:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-010:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-005:en-10-energy-build:VERIFY,basra,BAS-EN-005,energy site at line-1-0918-1015-s019302,energy,basra:BAS-EN-005:en-10-energy-build,en-10-energy-build,energy,basra:BAS-EN-005:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-ST-003:st-10-civil-structure:VERIFY,basra,BAS-ST-003,line-1-0507-0894-s010021,station,basra:BAS-ST-003:st-10-civil-structure,st-10-civil-structure,stations,basra:BAS-ST-003:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-TRK-L1-002:trk-10-survey-utility,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-004:en-20-energy-commission:VERIFY,basra,BAS-EN-004,energy site at line-1-0786-0977-s016289,energy,basra:BAS-EN-004:en-20-energy-commission,en-20-energy-commission,energy,basra:BAS-EN-004:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-EN-004:en-10-energy-build,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-ST-002:st-20-mep-passenger-systems:VERIFY,basra,BAS-ST-002,line-1-0288-0818-s005012,station,basra:BAS-ST-002:st-20-mep-passenger-systems,st-20-mep-passenger-systems,stations,basra:BAS-ST-002:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-ST-002:st-10-civil-structure,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-TRK-L1-002:trk-10-survey-utility:VERIFY,basra,BAS-TRK-L1-002,line-1 section 002,track-section,basra:BAS-TRK-L1-002:trk-10-survey-utility,trk-10-survey-utility,track-civil,basra:BAS-TRK-L1-002:qa-20-survey-geotech,qa-20-survey-geotech,pre-construction,"Survey control, cadastral constraints, buried utilities, flood paths, and geotechnical assumptions accepted before civil construction.",pass,civil owner engineer,"topographic survey, utility scan, borehole/test-pit log, flood/drainage map, ROW constraint register",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,3,project_kit:3,"civil, track, switch, and route-section acceptance"
basra:BAS-DEP-007:dep-20-charging-stabling:VERIFY,basra,BAS-DEP-007,layup-minimal at line-4-1070-0777-s000000,depot,basra:BAS-DEP-007:dep-20-charging-stabling,dep-20-charging-stabling,depots-production,basra:BAS-DEP-007:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-DEP-007:dep-10-building-plant,4,project_kit:4,"energy, charging, earthing, protection, and interconnection acceptance"
basra:BAS-DEP-008:dep-10-building-plant:VERIFY,basra,BAS-DEP-008,layup-minimal at line-4-1405-2361-s037350,depot,basra:BAS-DEP-008:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-DEP-008:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-TRK-L1-001:trk-20-subgrade-drainage:VERIFY,basra,BAS-TRK-L1-001,line-1 section 001,track-section,basra:BAS-TRK-L1-001:trk-20-subgrade-drainage,trk-20-subgrade-drainage,track-civil,basra:BAS-TRK-L1-001:qa-21-earthworks-drainage,qa-21-earthworks-drainage,civil works,"Compaction, capping layer, drainage, culverts, and fence lines accepted before trackform installation.",pass,civil QA lead,"compaction test, material gradation, drainage as-built, culvert inspection, fence/gate punch list",yes,basra:BAS-TRK-L1-001:trk-10-survey-utility,5,project_kit:5,"civil, track, switch, and route-section acceptance"
basra:BAS-PLANT-011:dep-10-building-plant:VERIFY,basra,BAS-PLANT-011,production/depot tooling at line-6-2118-0683-s000000,depots-production,basra:BAS-PLANT-011:dep-10-building-plant,dep-10-building-plant,depots-production,basra:BAS-PLANT-011:qa-24-stations-depots-plant,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.",pass,stations/depot acceptance board,"platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,5,project_kit:5,"station, depot, production plant, and public-opening acceptance"
basra:BAS-EN-006:en-10-energy-build:VERIFY,basra,BAS-EN-006,energy site at line-1-1050-1054-s022315,energy,basra:BAS-EN-006:en-10-energy-build,en-10-energy-build,energy,basra:BAS-EN-006:qa-25-power-energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.",pass,energy systems lead,"PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",yes,basra:BAS-SYS-001:sys-00-baseline-freeze,6,project_kit:6,"energy, charging, earthing, protection, and interconnection acceptance"
