campaign,geography_type,region,country,city,recipient_id,recipient_role,organization,recipient_name,email,official_url,verification_status,last_verified,source_url,notes
marketing/campaigns/east-africa/Mozambique/README.md,country,east-africa,Mozambique,,uk-embassy-economic-section,Embassy or High Commission of Mozambique in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Rwanda/README.md,country,east-africa,Rwanda,,transport-ministry,Rwanda ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Rwanda/README.md,country,east-africa,Rwanda,,climate-energy-authority,"Rwanda national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Rwanda/README.md,country,east-africa,Rwanda,,public-investment-authority,"Rwanda public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Rwanda/README.md,country,east-africa,Rwanda,,uk-embassy-economic-section,Embassy or High Commission of Rwanda in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Somalia/README.md,country,east-africa,Somalia,,transport-ministry,Somalia ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Somalia/README.md,country,east-africa,Somalia,,climate-energy-authority,"Somalia national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Somalia/README.md,country,east-africa,Somalia,,public-investment-authority,"Somalia public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Somalia/README.md,country,east-africa,Somalia,,uk-embassy-economic-section,Embassy or High Commission of Somalia in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Tanzania/README.md,country,east-africa,Tanzania,,transport-ministry,Tanzania ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Tanzania/README.md,country,east-africa,Tanzania,,climate-energy-authority,"Tanzania national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Tanzania/README.md,country,east-africa,Tanzania,,public-investment-authority,"Tanzania public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Tanzania/README.md,country,east-africa,Tanzania,,uk-embassy-economic-section,Embassy or High Commission of Tanzania in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Uganda/README.md,country,east-africa,Uganda,,transport-ministry,Uganda ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Uganda/README.md,country,east-africa,Uganda,,climate-energy-authority,"Uganda national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Uganda/README.md,country,east-africa,Uganda,,public-investment-authority,"Uganda public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Uganda/README.md,country,east-africa,Uganda,,uk-embassy-economic-section,Embassy or High Commission of Uganda in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/east-africa/Zambia/README.md,country,east-africa,Zambia,,transport-ministry,Zambia ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Zambia/README.md,country,east-africa,Zambia,,climate-energy-authority,"Zambia national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Zambia/README.md,country,east-africa,Zambia,,public-investment-authority,"Zambia public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/east-africa/Zambia/README.md,country,east-africa,Zambia,,uk-embassy-economic-section,Embassy or High Commission of Zambia in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/latin-america/Bolivia/README.md,country,latin-america,Bolivia,,transport-ministry,Bolivia ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/Bolivia/README.md,country,latin-america,Bolivia,,climate-energy-authority,"Bolivia national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/Bolivia/README.md,country,latin-america,Bolivia,,public-investment-authority,"Bolivia public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/Bolivia/README.md,country,latin-america,Bolivia,,uk-embassy-economic-section,Embassy or High Commission of Bolivia in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/latin-america/Ecuador/README.md,country,latin-america,Ecuador,,transport-ministry,Ecuador ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/Ecuador/README.md,country,latin-america,Ecuador,,climate-energy-authority,"Ecuador national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/Ecuador/README.md,country,latin-america,Ecuador,,public-investment-authority,"Ecuador public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/Ecuador/README.md,country,latin-america,Ecuador,,uk-embassy-economic-section,Embassy or High Commission of Ecuador in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/latin-america/El Salvador/README.md,country,latin-america,El Salvador,,transport-ministry,El Salvador ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/El Salvador/README.md,country,latin-america,El Salvador,,climate-energy-authority,"El Salvador national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/El Salvador/README.md,country,latin-america,El Salvador,,public-investment-authority,"El Salvador public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/latin-america/El Salvador/README.md,country,latin-america,El Salvador,,uk-embassy-economic-section,Embassy or High Commission of El Salvador in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/north-africa/Morocco/README.md,country,north-africa,Morocco,,transport-ministry,Morocco ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Morocco/README.md,country,north-africa,Morocco,,climate-energy-authority,"Morocco national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Morocco/README.md,country,north-africa,Morocco,,public-investment-authority,"Morocco public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Morocco/README.md,country,north-africa,Morocco,,uk-embassy-economic-section,Embassy or High Commission of Morocco in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/north-africa/Sudan/README.md,country,north-africa,Sudan,,transport-ministry,Sudan ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Sudan/README.md,country,north-africa,Sudan,,climate-energy-authority,"Sudan national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Sudan/README.md,country,north-africa,Sudan,,public-investment-authority,"Sudan public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Sudan/README.md,country,north-africa,Sudan,,uk-embassy-economic-section,Embassy or High Commission of Sudan in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/north-africa/Tunisia/README.md,country,north-africa,Tunisia,,transport-ministry,Tunisia ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Tunisia/README.md,country,north-africa,Tunisia,,climate-energy-authority,"Tunisia national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Tunisia/README.md,country,north-africa,Tunisia,,public-investment-authority,"Tunisia public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/north-africa/Tunisia/README.md,country,north-africa,Tunisia,,uk-embassy-economic-section,Embassy or High Commission of Tunisia in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-africa/South Africa/README.md,country,south-africa,South Africa,,transport-ministry,South Africa ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-africa/South Africa/README.md,country,south-africa,South Africa,,climate-energy-authority,"South Africa national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-africa/South Africa/README.md,country,south-africa,South Africa,,public-investment-authority,"South Africa public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-africa/South Africa/README.md,country,south-africa,South Africa,,uk-embassy-economic-section,Embassy or High Commission of South Africa in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-asia/Afghanistan/README.md,country,south-asia,Afghanistan,,transport-ministry,Afghanistan ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Afghanistan/README.md,country,south-asia,Afghanistan,,climate-energy-authority,"Afghanistan national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Afghanistan/README.md,country,south-asia,Afghanistan,,public-investment-authority,"Afghanistan public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Afghanistan/README.md,country,south-asia,Afghanistan,,uk-embassy-economic-section,Embassy or High Commission of Afghanistan in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-asia/Bangladesh/README.md,country,south-asia,Bangladesh,,transport-ministry,Bangladesh ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Bangladesh/README.md,country,south-asia,Bangladesh,,climate-energy-authority,"Bangladesh national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Bangladesh/README.md,country,south-asia,Bangladesh,,public-investment-authority,"Bangladesh public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Bangladesh/README.md,country,south-asia,Bangladesh,,uk-embassy-economic-section,Embassy or High Commission of Bangladesh in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-asia/India/README.md,country,south-asia,India,,transport-ministry,India ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/India/README.md,country,south-asia,India,,climate-energy-authority,"India national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/India/README.md,country,south-asia,India,,public-investment-authority,"India public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/India/README.md,country,south-asia,India,,uk-embassy-economic-section,Embassy or High Commission of India in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-asia/Nepal/README.md,country,south-asia,Nepal,,transport-ministry,Nepal ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Nepal/README.md,country,south-asia,Nepal,,climate-energy-authority,"Nepal national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Nepal/README.md,country,south-asia,Nepal,,public-investment-authority,"Nepal public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Nepal/README.md,country,south-asia,Nepal,,uk-embassy-economic-section,Embassy or High Commission of Nepal in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-asia/Pakistan/README.md,country,south-asia,Pakistan,,transport-ministry,Pakistan ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Pakistan/README.md,country,south-asia,Pakistan,,climate-energy-authority,"Pakistan national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Pakistan/README.md,country,south-asia,Pakistan,,public-investment-authority,"Pakistan public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Pakistan/README.md,country,south-asia,Pakistan,,uk-embassy-economic-section,Embassy or High Commission of Pakistan in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/south-asia/Sri Lanka/README.md,country,south-asia,Sri Lanka,,transport-ministry,Sri Lanka ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Sri Lanka/README.md,country,south-asia,Sri Lanka,,climate-energy-authority,"Sri Lanka national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Sri Lanka/README.md,country,south-asia,Sri Lanka,,public-investment-authority,"Sri Lanka public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/south-asia/Sri Lanka/README.md,country,south-asia,Sri Lanka,,uk-embassy-economic-section,Embassy or High Commission of Sri Lanka in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/southeast-asia/Cambodia/README.md,country,southeast-asia,Cambodia,,transport-ministry,Cambodia ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Cambodia/README.md,country,southeast-asia,Cambodia,,climate-energy-authority,"Cambodia national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Cambodia/README.md,country,southeast-asia,Cambodia,,public-investment-authority,"Cambodia public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Cambodia/README.md,country,southeast-asia,Cambodia,,uk-embassy-economic-section,Embassy or High Commission of Cambodia in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/southeast-asia/Indonesia/README.md,country,southeast-asia,Indonesia,,transport-ministry,Indonesia ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Indonesia/README.md,country,southeast-asia,Indonesia,,climate-energy-authority,"Indonesia national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Indonesia/README.md,country,southeast-asia,Indonesia,,public-investment-authority,"Indonesia public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Indonesia/README.md,country,southeast-asia,Indonesia,,uk-embassy-economic-section,Embassy or High Commission of Indonesia in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/southeast-asia/Laos/README.md,country,southeast-asia,Laos,,transport-ministry,Laos ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Laos/README.md,country,southeast-asia,Laos,,climate-energy-authority,"Laos national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Laos/README.md,country,southeast-asia,Laos,,public-investment-authority,"Laos public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Laos/README.md,country,southeast-asia,Laos,,uk-embassy-economic-section,Embassy or High Commission of Laos in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/southeast-asia/Myanmar/README.md,country,southeast-asia,Myanmar,,transport-ministry,Myanmar ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Myanmar/README.md,country,southeast-asia,Myanmar,,climate-energy-authority,"Myanmar national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Myanmar/README.md,country,southeast-asia,Myanmar,,public-investment-authority,"Myanmar public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Myanmar/README.md,country,southeast-asia,Myanmar,,uk-embassy-economic-section,Embassy or High Commission of Myanmar in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/southeast-asia/Philippines/README.md,country,southeast-asia,Philippines,,transport-ministry,Philippines ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Philippines/README.md,country,southeast-asia,Philippines,,climate-energy-authority,"Philippines national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Philippines/README.md,country,southeast-asia,Philippines,,public-investment-authority,"Philippines public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/southeast-asia/Philippines/README.md,country,southeast-asia,Philippines,,uk-embassy-economic-section,Embassy or High Commission of Philippines in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/west-africa/Burkina Faso/README.md,country,west-africa,Burkina Faso,,transport-ministry,Burkina Faso ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Burkina Faso/README.md,country,west-africa,Burkina Faso,,climate-energy-authority,"Burkina Faso national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Burkina Faso/README.md,country,west-africa,Burkina Faso,,public-investment-authority,"Burkina Faso public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Burkina Faso/README.md,country,west-africa,Burkina Faso,,uk-embassy-economic-section,Embassy or High Commission of Burkina Faso in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/west-africa/Cameroon/README.md,country,west-africa,Cameroon,,transport-ministry,Cameroon ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Cameroon/README.md,country,west-africa,Cameroon,,climate-energy-authority,"Cameroon national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Cameroon/README.md,country,west-africa,Cameroon,,public-investment-authority,"Cameroon public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Cameroon/README.md,country,west-africa,Cameroon,,uk-embassy-economic-section,Embassy or High Commission of Cameroon in the United Kingdom — economic section,,,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,research_required,,https://www.gov.uk/government/publications/foreign-embassies-in-the-uk,"Use the current FCDO London Diplomatic List, then verify the mission's economic section."
marketing/campaigns/west-africa/Guinea/README.md,country,west-africa,Guinea,,transport-ministry,Guinea ministry responsible for transport and urban mobility,,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Guinea/README.md,country,west-africa,Guinea,,climate-energy-authority,"Guinea national climate, energy or Green Climate Fund authority",,,,,research_required,,,Verify a current official role address before individual outreach.
marketing/campaigns/west-africa/Guinea/README.md,country,west-africa,Guinea,,public-investment-authority,"Guinea public investment, planning or finance authority",,,,,research_required,,,Verify a current official role address before individual outreach.
